time (ms), bus_voltage (mV), shunt_voltage (V), load_voltage (V), total_current (mA), power (mW)
9535,8.04,36.76,8.077,369.7,2960
9613,7.932,36.29,7.968,863.5,6796
9690,7.88,84.85,7.965,857.6,6802
9767,7.776,115.89,7.892,1169.9,9086
9844,7.784,105.65,7.89,1015.8,7944
9921,7.808,102.05,7.91,999.5,8136
9998,7.828,96.69,7.925,927.1,7474
10075,7.844,96.02,7.94,947.6,7438
10152,7.86,91.59,7.952,882.4,7026
10229,7.86,88.47,7.948,927.6,7236
10306,7.872,84.03,7.956,901.4,7088
10383,7.864,87.02,7.951,869,6828
10460,7.868,87.07,7.955,899.9,6856
10537,7.864,86.71,7.951,873.2,6868
10614,7.876,86.16,7.962,852.4,6712
10691,7.868,85.85,7.954,871.3,7082
10768,7.872,85.95,7.958,868.9,6836
10845,7.872,85.49,7.957,881.3,6934
10922,7.86,89.44,7.949,848.7,6992
10999,7.864,89.64,7.954,828,6508
11076,7.868,88.55,7.957,867.5,6838
11153,7.872,85.92,7.958,839.2,7026
11230,7.864,82.85,7.947,881.6,6930
11307,7.864,85.96,7.95,843,6626
11384,7.864,84.16,7.948,885.7,7002
11461,7.88,82.8,7.963,783.3,6180
11538,7.86,86.68,7.947,877.9,6918
11615,7.88,86.47,7.966,837.5,6540
11692,7.864,85.28,7.949,840.4,6612
11769,7.868,83.62,7.952,826.1,6508
11846,7.804,106.47,7.91,1103.3,8078
11922,7.788,99.27,7.887,1094.7,8526
11998,7.828,105.29,7.933,1037.6,8208
12075,7.812,101.36,7.913,1038.2,8126
12152,7.788,110.36,7.898,1073.7,8900
12229,7.868,83.6,7.952,840.2,6616
12306,7.864,84.23,7.948,791.8,6226
12383,7.876,86.16,7.962,873.8,6822
12460,7.828,91.5,7.919,893.6,7000
12537,7.8,98.08,7.898,947.1,7446
12613,7.804,104.62,7.909,1020.8,7966
12689,7.72,126.05,7.846,1276,10240
12765,7.608,161.99,7.77,1629.1,12112
12841,7.592,160.92,7.753,1608.8,12220
12917,7.6,161.25,7.761,1575.6,11974
12994,7.588,163.08,7.751,1601.4,12170
13071,7.872,83.28,7.955,802,6334
13148,7.796,103.34,7.899,1036.4,8180
13224,7.8,98.09,7.898,994.7,8054
13300,7.768,112.81,7.881,1135,8606
13376,7.804,104.87,7.909,1063.5,8304
13452,7.792,107.02,7.899,1098,8568
13528,7.596,157.31,7.753,1575.6,12160
13604,7.6,163.24,7.763,1578.6,12350
13680,7.592,164,7.756,1654.4,12554
13756,7.596,160.53,7.757,1596.5,12140
13832,7.596,158.2,7.754,1603.2,12128
13908,7.608,159.26,7.767,1604.2,12020
13984,7.608,154.91,7.763,1585.2,12048
14060,7.6,157.11,7.757,1574.9,11970
14136,7.596,161,7.757,1605.9,12094
14212,7.608,158.67,7.767,1603.9,11944
14288,7.612,157.98,7.77,1573.3,11958
14364,7.6,161.43,7.761,1579.8,12020
14440,7.608,156.01,7.764,1593.1,11712
14516,7.6,154.72,7.755,1605,12200
14592,7.592,160.79,7.753,1601.4,12170
14668,7.584,160.88,7.745,1592.2,12088
14744,7.604,161.52,7.766,1587.9,12076
14820,7.608,162.48,7.77,1590.6,12082
14896,7.596,161.76,7.758,1607.7,12200
14973,7.592,158.43,7.75,1623.2,12350
15049,7.756,116.67,7.873,1201.2,9070
15125,7.736,119.85,7.856,1172.2,9084
15201,7.588,161.78,7.75,1594.1,12108
15277,7.576,159.81,7.736,1647.1,12230
15353,7.58,161.54,7.742,1652.2,12550
15429,7.584,165.34,7.749,1658.9,12586
15505,7.584,160.97,7.745,1629.4,12370
15581,7.576,160.61,7.737,1666.2,12374
15657,7.58,160.38,7.74,1643.2,12468
15733,7.584,160.49,7.744,1619.3,12276
