####################
# Startup Complete #
####################
time (ms), bus_voltage (mV), shunt_voltage (V), load_voltage (V), total_current (mA), power (mW)
9547, 8.040, 36.140, 8.076, 372.100, 2986.000, 0.000

9620, 8.036, 37.040, 8.073, 376.900, 3028.000, 0.000

9692, 7.860, 86.970, 7.947, 893.500, 6836.000, 0.000
9764, 7.720, 140.360, 7.860, 1273.100, 9238.000, 0.000
9836, 7.752, 113.070, 7.865, 1187.800, 9094.000, 0.000
9908, 7.796, 102.300, 7.898, 1084.600, 8468.000, 0.000
9980, 7.816, 101.970, 7.918, 1016.300, 7946.000, 0.000
10052, 7.816, 98.040, 7.914, 972.600, 7602.000, 0.000
10124, 7.840, 96.780, 7.937, 955.300, 7478.000, 0.000

10196, 7.864, 87.580, 7.952, 928.200, 7284.000, 0.000
10268, 7.848, 89.600, 7.938, 894.300, 7020.000, 0.000
10340, 7.860, 91.100, 7.951, 916.600, 7212.000, 0.000
10412, 7.852, 87.130, 7.939, 912.700, 7170.000, 0.000
10484, 7.876, 85.660, 7.962, 825.000, 6488.000, 0.000
10556, 7.872, 87.330, 7.959, 838.800, 6596.000, 0.000
10628, 7.860, 86.030, 7.946, 875.800, 6892.000, 0.000
10700, 7.864, 88.500, 7.952, 884.800, 6974.000, 0.000
10772, 7.860, 89.230, 7.949, 900.000, 7074.000, 0.000
10844, 7.864, 84.340, 7.948, 866.500, 6822.000, 0.000
10916, 7.864, 87.390, 7.951, 892.700, 7016.000, 0.000
10988, 7.864, 86.440, 7.950, 872.300, 6872.000, 0.000
11060, 7.864, 83.120, 7.947, 840.200, 6616.000, 0.000
11132, 7.872, 86.050, 7.958, 863.900, 6550.000, 0.000
11204, 7.868, 87.700, 7.956, 886.400, 6812.000, 0.000
11276, 7.856, 83.170, 7.939, 846.200, 6764.000, 0.000
11348, 7.880, 84.770, 7.965, 860.300, 6754.000, 0.000
11420, 7.860, 85.470, 7.945, 846.200, 6390.000, 0.000
11492, 7.864, 88.470, 7.952, 875.300, 7010.000, 0.000
11564, 7.872, 80.740, 7.953, 820.900, 6584.000, 0.000
11636, 7.872, 86.230, 7.958, 878.200, 6894.000, 0.000
11708, 7.860, 80.780, 7.941, 848.200, 6878.000, 0.000
11780, 7.856, 81.280, 7.937, 826.800, 6800.000, 0.000
11852, 7.880, 85.670, 7.966, 859.300, 6412.000, 0.000
11924, 7.856, 80.220, 7.936, 863.900, 6790.000, 0.000
11996, 7.872, 83.150, 7.955, 861.300, 6774.000, 0.000
12068, 7.892, 83.480, 7.975, 781.200, 6148.000, 0.000
12140, 7.872, 76.600, 7.949, 818.700, 6446.000, 0.000
12212, 7.872, 86.080, 7.958, 841.000, 6630.000, 0.000
12284, 7.872, 83.370, 7.955, 827.600, 6528.000, 0.000
12356, 7.872, 76.100, 7.948, 853.800, 6720.000, 0.000
12428, 7.864, 87.520, 7.952, 860.300, 6774.000, 0.000
12500, 7.864, 79.700, 7.944, 761.700, 5994.000, 0.000
12572, 7.892, 84.910, 7.977, 861.300, 6790.000, 0.000
12644, 7.888, 81.850, 7.970, 830.800, 6544.000, 0.000
12716, 7.884, 73.280, 7.957, 843.800, 6636.000, 0.000
12788, 7.872, 75.470, 7.947, 800.500, 6302.000, 0.000
12860, 7.872, 79.970, 7.952, 785.500, 6196.000, 0.000
12932, 7.860, 81.380, 7.941, 840.100, 6616.000, 0.000
13004, 7.884, 79.600, 7.964, 836.800, 6590.000, 0.000
13076, 7.884, 84.250, 7.968, 863.700, 6796.000, 0.000
13148, 7.872, 82.460, 7.954, 765.600, 6030.000, 0.000
13220, 7.880, 82.660, 7.963, 766.400, 6040.000, 0.000
13292, 7.876, 81.960, 7.958, 806.400, 6364.000, 0.000
13364, 7.872, 85.820, 7.958, 803.900, 6708.000, 0.000
13436, 7.880, 83.670, 7.964, 790.100, 6612.000, 0.000
13508, 7.864, 87.000, 7.951, 828.200, 6862.000, 0.000
13580, 7.872, 83.260, 7.955, 763.000, 6596.000, 0.000
13652, 7.868, 85.420, 7.953, 808.100, 6774.000, 0.000
13724, 7.900, 81.420, 7.981, 851.100, 6642.000, 0.000
13796, 7.880, 83.030, 7.963, 870.100, 6186.000, 0.000
13868, 7.780, 109.610, 7.890, 1102.600, 8458.000, 0.000
13939, 7.608, 158.860, 7.767, 1598.100, 12140.000, 0.000
14010, 7.828, 99.740, 7.928, 1026.700, 8012.000, 0.000
14081, 7.804, 100.500, 7.905, 1040.800, 8136.000, 0.000
14152, 7.796, 98.520, 7.895, 1062.300, 8058.000, 0.000
14223, 7.816, 98.910, 7.915, 1000.200, 7494.000, 0.000
14294, 7.644, 139.200, 7.783, 1431.300, 10944.000, 0.000
14365, 7.656, 143.140, 7.799, 1421.900, 10988.000, 0.000
14436, 7.664, 143.680, 7.808, 1463.600, 11230.000, 0.000
14507, 7.652, 147.730, 7.800, 1453.300, 11098.000, 0.000
14578, 7.652, 145.470, 7.797, 1451.200, 11106.000, 0.000
14649, 7.660, 149.540, 7.810, 1496.000, 11424.000, 0.000
14720, 7.644, 150.140, 7.794, 1504.600, 11482.000, 0.000
14791, 7.648, 147.090, 7.795, 1491.300, 11394.000, 0.000
14862, 7.624, 149.320, 7.773, 1515.800, 11574.000, 0.000
14933, 7.624, 153.600, 7.778, 1528.100, 11534.000, 0.000
15004, 7.632, 144.660, 7.777, 1498.300, 11508.000, 0.000
15075, 7.628, 146.670, 7.775, 1456.400, 11568.000, 0.000
15146, 7.620, 153.530, 7.774, 1462.000, 11754.000, 0.000
15217, 7.616, 146.600, 7.763, 1489.800, 11358.000, 0.000
15288, 7.628, 144.310, 7.772, 1476.700, 11282.000, 0.000
15359, 7.640, 146.360, 7.786, 1470.000, 11220.000, 0.000
15430, 7.644, 151.020, 7.795, 1504.500, 11488.000, 0.000
15501, 7.628, 149.000, 7.777, 1472.300, 11236.000, 0.000
15572, 7.640, 148.350, 7.788, 1486.900, 11360.000, 0.000
15643, 7.648, 142.850, 7.791, 1447.900, 11112.000, 0.000
15714, 7.648, 146.940, 7.795, 1454.900, 11226.000, 0.000
15785, 7.636, 145.830, 7.782, 1484.100, 11190.000, 0.000
15856, 7.632, 150.900, 7.783, 1484.900, 11476.000, 0.000
15927, 7.636, 143.060, 7.779, 1447.400, 11060.000, 0.000
15998, 7.644, 144.790, 7.789, 1458.000, 11152.000, 0.000
16069, 7.636, 149.670, 7.786, 1503.700, 11466.000, 0.000
16140, 7.616, 149.200, 7.765, 1497.400, 11430.000, 0.000
16211, 7.612, 151.990, 7.764, 1498.400, 11424.000, 0.000
16282, 7.616, 156.430, 7.772, 1534.700, 11682.000, 0.000
16353, 7.616, 150.380, 7.766, 1539.800, 11370.000, 0.000
16424, 7.624, 151.660, 7.776, 1523.400, 11596.000, 0.000
16495, 7.628, 151.740, 7.780, 1492.200, 11534.000, 0.000
16566, 7.620, 150.880, 7.771, 1504.100, 11344.000, 0.000
16637, 7.624, 146.400, 7.770, 1524.600, 11314.000, 0.000
16708, 7.628, 146.440, 7.774, 1487.700, 11354.000, 0.000
16779, 7.624, 147.290, 7.771, 1494.700, 11400.000, 0.000
16850, 7.624, 147.300, 7.771, 1490.100, 11354.000, 0.000
16921, 7.624, 146.080, 7.770, 1487.800, 11348.000, 0.000
16992, 7.628, 147.790, 7.776, 1511.300, 11512.000, 0.000
17063, 7.620, 148.220, 7.768, 1517.700, 11558.000, 0.000
17134, 7.628, 147.820, 7.776, 1506.600, 11344.000, 0.000
17205, 7.624, 147.960, 7.772, 1489.400, 11682.000, 0.000
17276, 7.624, 151.240, 7.775, 1489.900, 11184.000, 0.000
17347, 7.616, 145.640, 7.762, 1523.200, 11414.000, 0.000
17418, 7.628, 151.220, 7.779, 1504.100, 11468.000, 0.000
17489, 7.632, 147.590, 7.780, 1473.600, 11236.000, 0.000
17560, 7.612, 151.990, 7.764, 1500.000, 11430.000, 0.000
17631, 7.616, 150.400, 7.766, 1534.500, 11682.000, 0.000
17702, 7.632, 147.960, 7.780, 1500.300, 11446.000, 0.000
17773, 7.636, 146.960, 7.783, 1477.000, 11250.000, 0.000
17844, 7.636, 148.320, 7.784, 1437.200, 10964.000, 0.000
17915, 7.640, 146.860, 7.787, 1482.000, 11256.000, 0.000
17986, 7.632, 145.210, 7.777, 1419.100, 10998.000, 0.000
18057, 7.640, 146.060, 7.786, 1397.600, 10902.000, 0.000
18128, 7.644, 142.370, 7.786, 1458.400, 11044.000, 0.000
18199, 7.652, 141.110, 7.793, 1419.100, 10836.000, 0.000
18271, 7.636, 138.330, 7.774, 1441.200, 11092.000, 0.000
18343, 7.788, 100.590, 7.889, 945.800, 7716.000, 0.000
18415, 7.788, 99.510, 7.888, 976.600, 7878.000, 0.000
18487, 7.840, 88.250, 7.928, 846.200, 6888.000, 0.000
18559, 7.888, 78.160, 7.966, 841.500, 6502.000, 0.000
18631, 7.864, 80.850, 7.945, 778.600, 6420.000, 0.000
18703, 7.860, 84.420, 7.944, 822.500, 6236.000, 0.000
18775, 7.860, 77.610, 7.938, 848.500, 6416.000, 0.000
18847, 7.876, 80.020, 7.956, 749.300, 6544.000, 0.000
18919, 7.856, 76.340, 7.932, 826.800, 6130.000, 0.000
18991, 7.828, 91.600, 7.920, 965.300, 7356.000, 0.000
19063, 7.864, 82.120, 7.946, 780.700, 6504.000, 0.000
19135, 7.856, 83.540, 7.940, 751.800, 6636.000, 0.000
19207, 7.852, 76.830, 7.929, 840.800, 6556.000, 0.000
19279, 7.868, 84.220, 7.952, 852.800, 6204.000, 0.000
19351, 7.848, 82.540, 7.931, 848.800, 6666.000, 0.000
19423, 7.856, 86.570, 7.943, 801.200, 6288.000, 0.000
19495, 7.852, 81.540, 7.934, 842.900, 6630.000, 0.000
19567, 7.848, 81.560, 7.930, 832.900, 6548.000, 0.000
19639, 7.864, 83.600, 7.948, 842.200, 6602.000, 0.000
19711, 7.852, 79.340, 7.931, 874.400, 6856.000, 0.000
19783, 7.852, 85.570, 7.938, 834.600, 6550.000, 0.000
19855, 7.836, 84.800, 7.921, 893.600, 7012.000, 0.000
19927, 7.848, 83.870, 7.932, 888.300, 6976.000, 0.000
19999, 7.852, 86.170, 7.938, 828.300, 6502.000, 0.000
20071, 7.840, 80.860, 7.921, 852.200, 6692.000, 0.000
20143, 7.848, 81.820, 7.930, 865.700, 6806.000, 0.000
20215, 7.852, 86.930, 7.939, 817.600, 6412.000, 0.000
20287, 7.856, 83.870, 7.940, 840.600, 6586.000, 0.000
20359, 7.844, 86.370, 7.930, 861.100, 6750.000, 0.000
20431, 7.848, 78.940, 7.927, 845.000, 6632.000, 0.000
20503, 7.856, 83.450, 7.939, 869.700, 6828.000, 0.000
20575, 7.840, 83.040, 7.923, 875.400, 6872.000, 0.000
20647, 7.844, 85.270, 7.929, 863.800, 6786.000, 0.000
20719, 7.848, 86.300, 7.934, 854.500, 6698.000, 0.000
20791, 7.860, 87.480, 7.947, 846.800, 6642.000, 0.000
20863, 7.840, 81.040, 7.921, 811.500, 6366.000, 0.000
20935, 7.852, 88.260, 7.940, 879.100, 6898.000, 0.000
21007, 7.852, 81.810, 7.934, 798.100, 6266.000, 0.000
21079, 7.848, 82.270, 7.930, 870.300, 6838.000, 0.000
21151, 7.856, 88.550, 7.945, 856.300, 6718.000, 0.000
21223, 7.856, 86.150, 7.942, 865.400, 6806.000, 0.000
21295, 7.864, 84.370, 7.948, 831.900, 6538.000, 0.000
21367, 7.852, 84.650, 7.937, 844.500, 6626.000, 0.000
21439, 7.764, 114.230, 7.878, 1158.600, 8982.000, 0.000
21511, 7.584, 156.840, 7.741, 1591.200, 12068.000, 0.000
21583, 7.584, 157.890, 7.742, 1562.700, 11872.000, 0.000
21655, 7.596, 155.240, 7.751, 1616.700, 12282.000, 0.000
21727, 7.848, 85.330, 7.933, 889.200, 6976.000, 0.000
21799, 7.844, 87.960, 7.932, 878.100, 6882.000, 0.000
21871, 7.776, 109.620, 7.886, 1112.700, 8186.000, 0.000
21943, 7.828, 83.920, 7.912, 876.200, 7136.000, 0.000
22014, 7.848, 85.070, 7.933, 849.200, 6656.000, 0.000
22086, 7.752, 116.330, 7.868, 1112.900, 8346.000, 0.000
22158, 7.748, 115.900, 7.864, 1164.500, 8650.000, 0.000
22230, 7.800, 106.230, 7.906, 993.100, 8080.000, 0.000
22302, 7.836, 85.840, 7.922, 873.100, 6996.000, 0.000
22373, 7.764, 103.080, 7.867, 1086.800, 8442.000, 0.000
22444, 7.760, 109.990, 7.870, 1096.800, 8510.000, 0.000
22515, 7.776, 101.390, 7.877, 1035.600, 8074.000, 0.000
22586, 7.712, 129.530, 7.842, 1295.400, 9984.000, 0.000
22657, 7.636, 142.500, 7.779, 1418.200, 10692.000, 0.000
22728, 7.660, 142.840, 7.803, 1427.100, 10618.000, 0.000
22800, 7.664, 140.290, 7.804, 1405.000, 10742.000, 0.000
22871, 7.772, 103.830, 7.876, 1086.900, 8232.000, 0.000
22942, 7.732, 114.820, 7.847, 1153.200, 8828.000, 0.000
23013, 7.588, 154.920, 7.743, 1609.100, 12222.000, 0.000
23085, 7.576, 160.560, 7.737, 1628.300, 12324.000, 0.000
23157, 7.756, 110.040, 7.866, 1108.400, 8602.000, 0.000
23229, 7.780, 102.760, 7.883, 1074.100, 8330.000, 0.000
