time (ms), bus_voltage (mV), shunt_voltage (V), load_voltage (V), total_current (mA), power (mW), arrowX,Steering %,,
9544,8.2,36.62,8.237,373.6,3050,-32,13,,0.071
9611,8.196,38.58,8.235,396.1,3244,-32,13,,0.138
9678,8.032,92.4,8.124,907.9,7284,-32,13,,0.205
9745,7.976,101.08,8.077,992.3,7960,-32,13,,0.272
9812,8.004,96.6,8.101,917.1,7334,-32,13,,0.339
9879,8.008,92.17,8.1,886.6,6862,-32,13,,0.406
9946,8.028,82.47,8.11,891.1,7170,-40,16,,0.473
10013,8.02,87.68,8.108,831,6674,-40,16,,0.54
10080,8.028,85.51,8.114,881.6,6884,-40,16,,0.607
10147,8.04,82.41,8.122,855.3,6868,-48,19,,0.674
10214,8.04,84.07,8.124,848.3,6838,-48,19,,0.741
10281,8.048,82.4,8.13,816.3,6560,-48,19,,0.808
10348,8.048,78.97,8.127,823.7,6626,-56,22,,0.875
10415,8.032,83.56,8.116,841.6,6760,-56,22,,0.942
10482,8.056,82.41,8.138,814.1,6554,-64,26,,1.009
10549,8.056,82,8.138,817.9,6576,-64,26,,1.076
10616,8.048,76.3,8.124,799.2,6538,-64,26,,1.143
10683,8.056,78.2,8.134,798.9,6436,-56,22,,1.21
10750,8.048,77.2,8.125,820,6692,-56,22,,1.277
10817,8.048,78.77,8.127,810.6,6528,-32,13,,1.344
10884,8.048,83.44,8.131,801.5,6448,-32,13,,1.411
10951,8.044,81.72,8.126,812.1,6534,16,-6,,1.478
11018,8.044,78.25,8.122,801.1,6448,-24,10,,1.545
11085,7.996,93.6,8.09,921.2,7212,-24,10,,1.612
11152,8.044,83.95,8.128,788.3,6340,-32,13,,1.679
11219,8.048,80.79,8.129,785.6,6318,-32,13,,1.746
11286,8.04,80.9,8.121,780.8,6638,-32,13,,1.813
11353,8.052,81.84,8.134,815.2,6554,-32,13,,1.88
11420,8.036,80.08,8.116,829.1,6662,-32,13,,1.947
11487,8.04,81.28,8.121,788.5,6720,-32,13,,2.014
11554,8.036,81.59,8.118,797.3,6410,-32,13,,2.081
11621,8.04,82.23,8.122,782.3,6472,-32,13,,2.148
11688,8.048,82.03,8.13,834.4,6712,-32,13,,2.215
11755,8.028,81.11,8.109,834.1,6718,-32,13,,2.282
11822,8.04,83.21,8.123,789.3,6630,-32,13,,2.349
11889,8.036,81.88,8.118,832.6,6702,-32,13,,2.416
11956,8.04,81.44,8.121,839.2,6748,-40,16,,2.483
12023,8.04,81.89,8.122,838.6,6504,-40,16,,2.55
12090,8.04,79.36,8.119,805.3,6472,-40,16,,2.617
12157,8.032,80.67,8.113,831.3,6406,-40,16,,2.684
12224,8.032,80.79,8.113,782.2,6292,-40,16,,2.751
12291,8.036,81.72,8.118,836.3,6718,-40,16,,2.818
12358,8.044,82.72,8.127,842,6704,-40,16,,2.885
12425,8.036,81.77,8.118,798.4,6412,-40,16,,2.952
12492,8.048,78.98,8.127,838.2,6728,-40,16,,3.019
12559,8.048,82.52,8.131,835.7,6674,-40,16,,3.086
12626,8.04,81.4,8.121,825.4,6636,-48,19,,3.153
12693,8.036,83.53,8.12,784.9,6596,-48,19,,3.22
12760,8.04,81.14,8.121,778.3,6262,-48,19,,3.287
12827,8.056,79.43,8.135,798.8,6426,-48,19,,3.354
12894,8.052,76.88,8.129,767,6232,-48,19,,3.421
12961,8.06,73.54,8.134,753.6,6066,-48,19,,3.488
13028,8.056,75.75,8.132,769.8,6098,-48,19,,3.555
13095,8.052,76.52,8.129,784,6302,-48,19,,3.622
13162,8.076,70.54,8.147,748.8,6042,-40,16,,3.689
13229,8.068,72.87,8.141,738.3,6068,-16,6,,3.756
