####################
# Startup Complete #
####################
#{"device_name": "ECE362CarTeam07",
#  "pid": [0.450000,0.060000,0.000000]
#}
#{"csv": "
time (ms), bus_voltage (mV), shunt_voltage (V), load_voltage (V), total_current (mA), power (mW), arrowX (px), steering %, speed setting 
9545, 12.128, 38.210, 12.166, 381.500, 4626.000, -8, 4, 0
9553, 12.132, 37.850, 12.170, 381.300, 4594.000, -8, 4, 6
9561, 12.116, 40.600, 12.157, 402.900, 4758.000, -8, 4, 4
9568, 12.120, 39.840, 12.160, 396.400, 4804.000, -8, 4, 4
9576, 12.116, 39.750, 12.156, 394.100, 4778.000, -8, 4, 4
9584, 12.124, 39.700, 12.164, 390.100, 4728.000, -8, 4, 4
9591, 12.128, 39.090, 12.167, 386.100, 4682.000, -8, 4, 4
9599, 12.128, 39.580, 12.168, 384.500, 4604.000, -8, 4, 4
9607, 12.128, 38.040, 12.166, 384.700, 4624.000, -8, 4, 4
9615, 12.128, 37.230, 12.165, 381.300, 4610.000, -8, 4, 4
9622, 12.124, 37.740, 12.162, 384.800, 4666.000, -8, 4, 4
9630, 12.128, 38.040, 12.166, 387.600, 4700.000, -8, 4, 4
9638, 12.132, 37.990, 12.170, 379.700, 4608.000, -8, 4, 4
9645, 12.020, 68.010, 12.088, 685.700, 8242.000, -8, 4, 4
9653, 12.004, 70.260, 12.074, 696.300, 9716.000, -8, 4, 4
9661, 11.972, 78.320, 12.050, 827.500, 9892.000, -8, 4, 4
9669, 11.996, 76.040, 12.072, 744.500, 8926.000, -8, 4, 5
9676, 11.940, 90.930, 12.031, 910.100, 10882.000, -8, 4, 4
9684, 11.948, 89.690, 12.038, 888.900, 10624.000, -8, 4, 5
9692, 11.924, 90.380, 12.014, 941.100, 11240.000, -8, 4, 4
9699, 11.872, 111.260, 11.983, 1129.900, 13078.000, -8, 4, 5
9707, 11.864, 106.630, 11.971, 1160.800, 13744.000, -8, 4, 4
9715, 11.856, 107.500, 11.964, 1192.400, 14124.000, -8, 4, 5
9723, 11.924, 97.340, 12.021, 1009.900, 12006.000, -8, 4, 4
9730, 11.892, 99.300, 11.991, 1101.200, 13092.000, -8, 4, 5
9738, 11.928, 94.860, 12.023, 944.900, 11148.000, -8, 4, 4
9746, 11.936, 88.070, 12.024, 920.500, 11098.000, -8, 4, 5
9753, 11.952, 87.580, 12.040, 904.600, 10800.000, -8, 4, 4
9761, 11.948, 91.190, 12.039, 898.000, 10728.000, -8, 4, 5
9769, 11.960, 86.140, 12.046, 872.800, 10440.000, -8, 4, 4
9777, 11.852, 107.250, 11.959, 1194.200, 15284.000, -8, 4, 5
9784, 11.700, 172.530, 11.873, 1683.600, 18082.000, -8, 4, 4
9792, 11.912, 100.450, 12.012, 969.200, 11554.000, -8, 4, 5
9800, 11.888, 101.420, 11.989, 1214.500, 14314.000, -8, 4, 4
9807, 11.684, 178.980, 11.863, 1753.700, 20552.000, -8, 4, 5
9815, 11.840, 114.470, 11.954, 1113.000, 13186.000, -8, 4, 4
9823, 11.728, 136.040, 11.864, 1578.100, 20788.000, -8, 4, 5
9831, 11.636, 194.050, 11.830, 1776.400, 19002.000, -8, 4, 4
9838, 11.860, 112.690, 11.973, 1173.300, 13900.000, -8, 4, 5
9846, 11.640, 169.870, 11.810, 1984.000, 22896.000, -8, 4, 4
9854, 11.632, 167.830, 11.800, 1578.900, 18474.000, -8, 4, 5
9862, 11.688, 147.610, 11.836, 1613.600, 20504.000, -8, 4, 4
9869, 11.280, 220.810, 11.501, 1915.200, 14422.000, -8, 4, 5
9877, 11.772, 123.830, 11.896, 1285.600, 15166.000, -8, 4, 5
9885, 11.796, 130.750, 11.927, 1274.800, 15044.000, -8, 4, 4
9892, 11.828, 126.570, 11.955, 1283.900, 15172.000, -8, 4, 5
9900, 11.688, 161.660, 11.850, 1656.800, 19392.000, -8, 4, 4
9908, 11.748, 145.610, 11.894, 1447.800, 17246.000, -8, 4, 5
9915, 11.312, 210.290, 11.522, 2184.200, 24130.000, -8, 4, 4
9923, 11.576, 209.450, 11.785, 2178.000, 24514.000, -8, 4, 5
9931, 11.572, 211.370, 11.783, 2115.700, 24492.000, -8, 4, 4
9939, 10.672, 232.250, 10.904, 2290.700, 24428.000, -8, 4, 5
9946, 10.760, 229.360, 10.989, 2284.500, 24656.000, -8, 4, 5
9954, 10.816, 226.900, 11.043, 2301.600, 24658.000, -8, 4, 5
9962, 10.412, 239.010, 10.651, 2447.900, 25108.000, -8, 4, 5
9970, 10.524, 231.730, 10.756, 2313.600, 24468.000, -8, 4, 5
9977, 10.604, 232.050, 10.836, 2297.500, 24628.000, -8, 4, 5
9985, 11.220, 223.750, 11.444, 2258.800, 24812.000, -8, 4, 5
9993, 11.300, 222.190, 11.522, 2136.400, 24720.000, -8, 4, 5
10000, 11.340, 219.320, 11.559, 2141.000, 23872.000, -8, 4, 5
10008, 11.516, 212.390, 11.728, 2149.000, 24910.000, -8, 4, 5
