####################
# Startup Complete #
####################
#{"device_name": "ECE362CarTeam07",
#  "pid": [0.405000,0.065000,0.000000]
#}
#{"csv": "
time (ms), packet_id, bus voltage (V), total_current (mA), power (mW), loop time (ms) 
9538, 0, 7.960, 364.200, 2900.000, 9538 
9588, 1, 7.956, 361.900, 2930.000, 9545 
9638, 2, 7.960, 364.300, 2900.000, 9595 
9688, 3, 7.696, 1159.300, 8726.000, 9645 
9738, 4, 7.740, 951.600, 7380.000, 9695 
9788, 5, 7.604, 1601.800, 12000.000, 9745 
9838, 6, 7.656, 1383.300, 10518.000, 9795 
9888, 7, 7.740, 978.000, 7572.000, 9845 
9938, 8, 7.768, 934.800, 7110.000, 9895 
9988, 9, 7.776, 888.900, 6908.000, 9945 
10038, 10, 7.796, 836.000, 6540.000, 9995 
10088, 11, 7.804, 831.400, 6484.000, 10045 
10138, 12, 7.780, 837.800, 6738.000, 10095 
10188, 13, 7.792, 819.600, 6390.000, 10145 
10238, 14, 7.800, 815.700, 6364.000, 10195 
10288, 15, 7.788, 858.300, 6684.000, 10245 
10338, 16, 7.800, 831.300, 6488.000, 10295 
10388, 17, 7.808, 801.200, 5960.000, 10345 
10438, 18, 7.808, 811.700, 6334.000, 10395 
10488, 19, 7.804, 762.700, 6328.000, 10445 
10538, 20, 7.812, 777.000, 6068.000, 10495 
10588, 21, 7.808, 742.500, 6010.000, 10545 
10638, 22, 7.864, 639.900, 5026.000, 10595 
10688, 23, 7.852, 681.600, 5240.000, 10645 
10738, 24, 7.864, 630.200, 4954.000, 10695 
10788, 25, 7.848, 664.700, 5224.000, 10745 
10838, 26, 7.860, 648.600, 5086.000, 10795 
10888, 27, 7.860, 652.000, 5122.000, 10845 
10938, 28, 7.852, 646.900, 5164.000, 10895 
10988, 29, 7.864, 635.000, 4994.000, 10945 
11038, 30, 7.856, 663.300, 5086.000, 10995 
11088, 31, 7.848, 673.100, 5286.000, 11045 
11138, 32, 7.844, 686.600, 5324.000, 11095 
11188, 33, 7.852, 653.700, 5134.000, 11145 
11238, 34, 7.856, 649.000, 5098.000, 11195 
11288, 35, 7.852, 645.800, 5072.000, 11245 
11338, 36, 7.856, 654.300, 5138.000, 11295 
11388, 37, 7.868, 642.500, 5128.000, 11345 
11438, 38, 7.860, 628.700, 4938.000, 11395 
11488, 39, 7.848, 623.400, 5096.000, 11445 
11537, 40, 7.860, 651.500, 5132.000, 11494 
11587, 41, 7.792, 820.300, 6400.000, 11543 
11637, 42, 7.800, 815.000, 6338.000, 11593 
11687, 43, 7.796, 795.300, 6220.000, 11643 
11737, 44, 7.828, 797.900, 6232.000, 11693 
11787, 45, 7.804, 756.600, 5908.000, 11743 
11837, 46, 7.800, 790.700, 6170.000, 11793 
11887, 47, 7.804, 786.900, 6140.000, 11843 
11937, 48, 7.816, 776.400, 6058.000, 11893 
11987, 49, 7.824, 787.600, 6092.000, 11943 
12037, 50, 7.808, 767.600, 5994.000, 11993 
12087, 51, 7.804, 764.900, 6206.000, 12043 
12137, 52, 7.804, 758.400, 5922.000, 12093 
12188, 53, 7.812, 776.000, 6058.000, 12144 
12238, 54, 7.812, 797.700, 6226.000, 12195 
12287, 55, 7.848, 653.300, 5128.000, 12244 
12337, 56, 7.792, 842.700, 6304.000, 12293 
12387, 57, 7.804, 792.700, 6186.000, 12343 
12437, 58, 7.796, 821.500, 6466.000, 12393 
12487, 59, 7.800, 808.400, 6302.000, 12443 
12537, 60, 7.792, 792.500, 6364.000, 12493 
12587, 61, 7.816, 771.500, 6016.000, 12543 
12637, 62, 7.780, 820.200, 6538.000, 12593 
12687, 63, 7.804, 820.000, 6400.000, 12643 
12738, 64, 7.812, 784.200, 6128.000, 12694 
12788, 65, 7.860, 639.600, 5024.000, 12745 
12837, 66, 7.844, 686.200, 5380.000, 12794 
12887, 67, 7.792, 827.100, 6422.000, 12843 
12937, 68, 7.808, 809.200, 6302.000, 12893 
12987, 69, 7.808, 808.900, 6508.000, 12943 
13037, 70, 7.804, 803.700, 6272.000, 12993 
13087, 71, 7.800, 800.000, 6246.000, 13043 
13137, 72, 7.788, 799.500, 6222.000, 13093 
13187, 73, 7.800, 810.600, 6266.000, 13143 
13237, 74, 7.800, 796.000, 6222.000, 13193 
13287, 75, 7.800, 797.400, 6220.000, 13243 
13337, 76, 7.808, 807.400, 6246.000, 13293 
13387, 77, 7.808, 782.100, 6108.000, 13343 
13438, 78, 7.816, 777.700, 6078.000, 13394 
13487, 79, 7.808, 770.400, 6022.000, 13444 
13537, 80, 7.816, 766.100, 6184.000, 13493 
13587, 81, 7.808, 788.200, 6150.000, 13543 
13637, 82, 7.820, 781.000, 6112.000, 13593 
13687, 83, 7.804, 767.100, 5996.000, 13643 
13738, 84, 7.808, 758.600, 5932.000, 13694 
13788, 85, 7.860, 603.300, 4748.000, 13745 
13837, 86, 7.864, 612.800, 4820.000, 13794 
13888, 87, 7.820, 757.100, 5912.000, 13844 
13938, 88, 7.864, 624.100, 4738.000, 13895 
13988, 89, 7.860, 642.900, 5050.000, 13945 
14038, 90, 7.852, 653.400, 5030.000, 13995 
14087, 91, 7.848, 641.500, 5224.000, 14044 
14137, 92, 7.788, 844.600, 6584.000, 14093 
14187, 93, 7.784, 832.500, 6462.000, 14143 
14237, 94, 7.784, 820.600, 6394.000, 14193 
14287, 95, 7.784, 831.200, 6482.000, 14243 
14337, 96, 7.792, 822.500, 6416.000, 14293 
14387, 97, 7.820, 803.200, 6272.000, 14343 
14437, 98, 7.816, 801.800, 6222.000, 14393 
14488, 99, 7.820, 770.800, 6158.000, 14444 
14538, 100, 7.864, 614.300, 4830.000, 14495 
14588, 101, 7.808, 764.900, 5744.000, 14545 
14637, 102, 7.816, 744.300, 6104.000, 14594 
14687, 103, 7.820, 730.300, 5708.000, 14643 
14737, 104, 7.824, 755.800, 5912.000, 14693 
14787, 105, 7.824, 730.900, 5708.000, 14743 
14837, 106, 7.820, 716.600, 5606.000, 14793 
14887, 107, 7.824, 704.500, 5842.000, 14843 
14937, 108, 7.828, 716.700, 5606.000, 14893 
