####################
# Startup Complete #
####################
#{"device_name": "ECE362CarTeam07",
#  "pid": [0.452000,0.000300,0.000000]
#}
#{"csv": "
time (ms), packet_id, bus voltage (V), total_current (mA), power (mW), loop time (ms) 
9543, 0, 11.804, 374.600, 4420.000, 0 
9592, 1, 11.800, 386.200, 4758.000, 42 
9642, 2, 11.668, 793.300, 9264.000, 43 
9692, 3, 11.672, 791.200, 9136.000, 43 
9742, 4, 11.628, 985.300, 11416.000, 43 
9792, 5, 11.468, 1371.400, 16154.000, 43 
9842, 6, 11.688, 732.700, 8562.000, 43 
9892, 7, 11.696, 714.900, 8402.000, 43 
9942, 8, 11.688, 696.500, 8136.000, 43 
9992, 9, 11.696, 701.600, 8182.000, 43 
10042, 10, 11.692, 704.100, 8234.000, 43 
10092, 11, 11.696, 701.700, 8208.000, 43 
10142, 12, 11.696, 687.600, 8042.000, 43 
10192, 13, 11.700, 693.000, 8110.000, 43 
10242, 14, 11.692, 697.500, 8232.000, 43 
10292, 15, 11.700, 697.400, 8156.000, 43 
10342, 16, 11.692, 681.600, 7992.000, 43 
10392, 17, 11.704, 685.200, 8018.000, 43 
10442, 18, 11.696, 680.300, 8088.000, 43 
10492, 19, 11.704, 701.800, 8216.000, 43 
10542, 20, 11.708, 689.000, 7570.000, 43 
10592, 21, 11.700, 662.100, 7744.000, 43 
10642, 22, 11.704, 671.500, 8100.000, 43 
10692, 23, 11.704, 677.300, 7926.000, 43 
10742, 24, 11.708, 657.100, 7806.000, 43 
10792, 25, 11.712, 656.000, 7680.000, 43 
10842, 26, 11.708, 627.400, 7530.000, 43 
10892, 27, 11.712, 631.400, 7392.000, 43 
10942, 28, 11.708, 671.100, 7736.000, 43 
10992, 29, 11.716, 619.900, 7264.000, 43 
11042, 30, 11.720, 610.300, 7074.000, 43 
11092, 31, 11.712, 624.100, 7308.000, 43 
11142, 32, 11.708, 662.800, 7390.000, 43 
11192, 33, 11.708, 668.400, 7826.000, 43 
11242, 34, 11.708, 675.900, 7644.000, 43 
11292, 35, 11.716, 645.100, 7556.000, 43 
11342, 36, 11.720, 651.100, 7186.000, 43 
11392, 37, 11.716, 629.900, 7376.000, 43 
11442, 38, 11.720, 623.800, 7304.000, 43 
11492, 39, 11.720, 639.100, 7484.000, 43 
11542, 40, 11.712, 656.300, 7690.000, 43 
11592, 41, 11.716, 623.100, 7308.000, 43 
11642, 42, 11.720, 626.100, 7328.000, 43 
11692, 43, 11.720, 668.400, 7828.000, 43 
11742, 44, 11.712, 644.900, 7560.000, 43 
11792, 45, 11.724, 659.600, 7602.000, 43 
11842, 46, 11.712, 655.700, 7688.000, 43 
11892, 47, 11.708, 623.700, 7626.000, 43 
11942, 48, 11.720, 634.100, 7426.000, 43 
11992, 49, 11.720, 635.000, 7418.000, 43 
12042, 50, 11.716, 627.600, 7354.000, 43 
12092, 51, 11.716, 645.800, 7418.000, 43 
12142, 52, 11.720, 646.500, 7570.000, 43 
12192, 53, 11.720, 633.400, 7478.000, 43 
12242, 54, 11.712, 669.700, 7838.000, 43 
12292, 55, 11.704, 636.300, 7680.000, 43 
12342, 56, 11.704, 668.600, 7838.000, 43 
12392, 57, 11.712, 669.600, 7678.000, 43 
12442, 58, 11.700, 665.800, 7796.000, 43 
12492, 59, 11.712, 625.700, 7622.000, 43 
12542, 60, 11.712, 605.200, 7088.000, 43 
12592, 61, 11.700, 667.500, 7340.000, 43 
12642, 62, 11.704, 656.500, 7680.000, 43 
12692, 63, 11.716, 614.500, 7826.000, 43 
12742, 64, 11.700, 680.800, 7962.000, 43 
12792, 65, 11.712, 685.000, 8068.000, 43 
12842, 66, 11.724, 663.100, 7760.000, 43 
12892, 67, 11.712, 643.600, 7536.000, 43 
12942, 68, 11.704, 648.100, 7596.000, 43 
12992, 69, 11.716, 656.600, 7694.000, 43 
13042, 70, 11.700, 650.000, 7612.000, 43 
13092, 71, 11.704, 619.700, 7258.000, 43 
13142, 72, 11.704, 637.800, 7472.000, 43 
13192, 73, 11.708, 660.900, 7736.000, 43 
13242, 74, 11.688, 636.100, 7448.000, 43 
13292, 75, 11.712, 663.400, 7770.000, 43 
13342, 76, 11.704, 665.700, 7790.000, 43 
13392, 77, 11.708, 668.300, 7822.000, 43 
13442, 78, 11.712, 637.000, 7776.000, 43 
13492, 79, 11.720, 653.800, 7658.000, 43 
13542, 80, 11.704, 678.200, 7844.000, 43 
13592, 81, 11.704, 683.500, 7996.000, 43 
13642, 82, 11.720, 624.900, 7002.000, 43 
13692, 83, 11.704, 644.100, 7546.000, 43 
13742, 84, 11.708, 672.000, 7864.000, 43 
13792, 85, 11.708, 658.500, 7714.000, 43 
13842, 86, 11.716, 619.700, 7956.000, 43 
13892, 87, 11.708, 651.500, 7636.000, 43 
13942, 88, 11.720, 609.500, 6990.000, 43 
13992, 89, 11.700, 653.500, 7654.000, 43 
14042, 90, 11.712, 657.200, 7822.000, 43 
14092, 91, 11.704, 608.800, 7134.000, 43 
14142, 92, 11.700, 686.600, 8206.000, 43 
14192, 93, 11.712, 630.800, 7396.000, 43 
14242, 94, 11.716, 618.000, 8150.000, 43 
14292, 95, 11.708, 652.800, 7644.000, 43 
14342, 96, 11.712, 625.200, 7278.000, 43 
14392, 97, 11.712, 646.600, 7580.000, 43 
14442, 98, 11.704, 688.800, 7980.000, 43 
14492, 99, 11.720, 608.500, 7130.000, 43 
14542, 100, 11.708, 640.600, 7644.000, 43 
14592, 101, 11.708, 667.200, 7818.000, 43 
14642, 102, 11.704, 676.400, 7518.000, 43 
14692, 103, 11.708, 647.600, 7580.000, 43 
14742, 104, 11.712, 655.100, 7724.000, 43 
14792, 105, 11.708, 672.100, 7864.000, 43 
14842, 106, 11.708, 677.500, 7880.000, 43 
14892, 107, 11.704, 664.400, 7770.000, 43 
14942, 108, 11.708, 683.800, 7898.000, 43 
14992, 109, 11.696, 676.900, 7924.000, 43 
15042, 110, 11.704, 684.500, 8110.000, 43 
15092, 111, 11.700, 696.400, 8150.000, 43 
15142, 112, 11.700, 683.500, 7926.000, 43 
15192, 113, 11.704, 667.500, 7812.000, 43 
15242, 114, 11.708, 681.500, 7930.000, 43 
15292, 115, 11.700, 673.700, 7880.000, 43 
15342, 116, 11.700, 698.200, 7988.000, 43 
15392, 117, 11.696, 676.300, 7916.000, 43 
15442, 118, 11.700, 695.800, 8016.000, 43 
15492, 119, 11.700, 678.800, 7946.000, 43 
15542, 120, 11.700, 675.600, 7862.000, 43 
15592, 121, 11.696, 686.700, 8034.000, 43 
15642, 122, 11.700, 676.300, 7916.000, 43 
15692, 123, 11.704, 678.000, 7930.000, 43 
15742, 124, 11.700, 679.200, 7950.000, 43 
15792, 125, 11.700, 671.700, 7858.000, 43 
15842, 126, 11.704, 683.100, 7992.000, 43 
15892, 127, 11.696, 679.300, 7946.000, 43 
15942, 128, 11.700, 668.200, 7812.000, 43 
15992, 129, 11.700, 684.400, 8008.000, 43 
16042, 130, 11.708, 663.500, 7762.000, 43 
16092, 131, 11.700, 689.800, 8078.000, 43 
16142, 132, 11.708, 679.600, 7956.000, 43 
16192, 133, 11.704, 662.400, 7756.000, 43 
16242, 134, 11.708, 649.300, 7606.000, 43 
16292, 135, 11.704, 669.200, 7832.000, 43 
16342, 136, 11.736, 637.500, 7472.000, 43 
16392, 137, 11.720, 641.900, 7518.000, 43 
16442, 138, 11.732, 588.200, 6898.000, 43 
16492, 139, 11.712, 651.900, 7632.000, 43 
16542, 140, 11.720, 631.500, 7402.000, 43 
16592, 141, 11.720, 633.900, 7284.000, 43 
16642, 142, 11.724, 622.300, 7292.000, 43 
16692, 143, 11.708, 637.100, 7504.000, 43 
16742, 144, 11.720, 602.600, 7068.000, 43 
16792, 145, 11.724, 597.400, 7136.000, 43 
16842, 146, 11.720, 621.000, 7278.000, 43 
16892, 147, 11.712, 640.300, 7284.000, 43 
16942, 148, 11.712, 629.800, 7382.000, 43 
16992, 149, 11.724, 581.100, 6992.000, 43 
17042, 150, 11.712, 649.500, 7606.000, 43 
17092, 151, 11.708, 649.300, 7218.000, 43 
17142, 152, 11.708, 634.900, 7436.000, 43 
17192, 153, 11.724, 614.800, 7114.000, 43 
17242, 154, 11.724, 580.700, 6810.000, 43 
17292, 155, 11.708, 642.100, 7284.000, 43 
17342, 156, 11.720, 643.600, 7534.000, 43 
17392, 157, 11.720, 595.800, 7200.000, 43 
17442, 158, 11.724, 615.800, 7222.000, 43 
17492, 159, 11.708, 636.400, 7446.000, 43 
17542, 160, 11.708, 634.100, 7428.000, 43 
17592, 161, 11.704, 655.800, 7690.000, 43 
17642, 162, 11.712, 659.400, 7724.000, 43 
17692, 163, 11.716, 627.500, 7714.000, 43 
17742, 164, 11.716, 639.200, 7484.000, 43 
17792, 165, 11.728, 602.700, 7254.000, 43 
17842, 166, 11.724, 619.000, 7258.000, 43 
17892, 167, 11.720, 600.700, 7156.000, 43 
17942, 168, 11.732, 600.100, 7032.000, 43 
17992, 169, 11.712, 597.800, 7318.000, 43 
18042, 170, 11.728, 594.900, 6976.000, 43 
18092, 171, 11.696, 638.600, 7684.000, 43 
18142, 172, 11.704, 642.100, 7526.000, 43 
18192, 173, 11.712, 619.200, 7036.000, 43 
18242, 174, 11.728, 620.400, 7278.000, 43 
18292, 175, 11.720, 624.400, 7422.000, 43 
18342, 176, 11.720, 642.700, 7530.000, 43 
18392, 177, 11.704, 653.600, 7644.000, 43 
18442, 178, 11.728, 619.200, 7264.000, 43 
18492, 179, 11.720, 658.800, 7278.000, 43 
18542, 180, 11.712, 613.500, 7186.000, 43 
18592, 181, 11.720, 656.000, 7396.000, 43 
18642, 182, 11.720, 627.300, 7356.000, 43 
18692, 183, 11.716, 640.900, 7156.000, 43 
18742, 184, 11.712, 644.400, 7550.000, 43 
18792, 185, 11.712, 623.600, 7576.000, 43 
18842, 186, 11.700, 677.100, 7924.000, 43 
18892, 187, 11.728, 606.700, 7246.000, 43 
18942, 188, 11.712, 615.200, 7210.000, 43 
18992, 189, 11.716, 622.200, 6826.000, 43 
19042, 190, 11.700, 631.000, 7390.000, 43 
19092, 191, 11.720, 598.200, 7576.000, 43 
19142, 192, 11.708, 613.700, 7190.000, 43 
19192, 193, 11.704, 675.800, 7684.000, 43 
19242, 194, 11.704, 619.100, 7252.000, 43 
19292, 195, 11.736, 603.600, 7020.000, 43 
19342, 196, 11.700, 663.900, 7770.000, 43 
