time (ms), packet_id, bus voltage (V), total_current (mA), power (mW), loop time (ms) 
9549,0,11.792,377.7,4470,0
9599,1,11.792,388.8,4588,43
9649,2,11.64,800.9,9420,43
9699,3,11.548,1080.7,12504,43
9749,4,11.616,899,10342,43
9799,5,11.388,1336.8,15320,43
9849,6,11.476,1373.3,14264,43
9899,7,11.708,650.7,7618,43
9949,8,11.704,629.4,7232,43
9999,9,11.704,655.4,7672,43
10049,10,11.704,636.9,7380,43
10099,11,11.72,629.1,7370,43
10149,12,11.708,630.7,7310,43
10199,13,11.716,632.2,7406,43
10249,14,11.712,631,7390,43
10299,15,11.72,641.2,7504,43
10349,16,11.708,631.5,7392,43
10399,17,11.708,619.1,7254,43
10449,18,11.716,623.8,7308,43
10499,19,11.704,627.6,7292,43
10549,20,11.708,629.7,7376,43
10599,21,11.712,617.7,7320,43
10649,22,11.708,625.7,7328,43
10699,23,11.708,619.3,7238,43
10749,24,11.72,622.8,7294,43
10799,25,11.712,624.4,7248,43
10849,26,11.712,619.9,7258,43
10899,27,11.712,611.2,7340,43
10949,28,11.716,613.9,7190,43
10999,29,11.712,619.1,7150,43
11049,30,11.72,618.4,7246,43
11099,31,11.712,614,7212,43
11149,32,11.716,611.9,7170,43
11199,33,11.716,625.6,7216,43
11249,34,11.708,629.9,7376,43
11299,35,11.712,609.1,7134,43
11349,36,11.712,618,7232,43
11399,37,11.712,581.7,6816,43
11449,38,11.7,616.5,7222,43
11499,39,11.716,605.7,7098,43
11549,40,11.688,651.8,7940,43
11599,41,11.716,615.6,7218,43
11649,42,11.708,604.5,7150,43
11699,43,11.716,600.8,7038,43
11749,44,11.716,597.9,7072,43
11799,45,11.716,619.6,7262,43
11849,46,11.692,649.3,7294,43
11899,47,11.716,604.6,7082,43
11949,48,11.712,624.2,7392,43
11999,49,11.716,617.5,7232,43
12049,50,11.712,618.4,6892,43
12099,51,11.712,594.7,6966,43
12149,52,11.704,620.7,7412,43
12199,53,11.716,643.8,7540,43
12249,54,11.712,613.3,7182,43
12299,55,11.708,633.3,7418,43
12349,56,11.708,612.2,7176,43
12399,57,11.716,601.1,7046,43
12449,58,11.712,629.9,7376,43
12499,59,11.712,626.1,7166,43
12549,60,11.716,614.8,7200,43
12599,61,11.716,618.2,7166,43
12649,62,11.716,608.9,7130,43
12699,63,11.712,609.1,7236,43
12749,64,11.716,622.8,7294,43
12799,65,11.712,617.9,7226,43
12849,66,11.72,619.1,7252,43
12899,67,11.712,616.2,7228,43
12949,68,11.716,610.1,7146,43
12999,69,11.712,615.2,7274,43
13049,70,11.708,646.2,7562,43
13099,71,11.712,621.7,7212,43
13149,72,11.712,634.4,7432,43
13199,73,11.712,612.9,7180,43
13249,74,11.712,618.7,7248,43
13299,75,11.712,612.1,7170,43
13349,76,11.712,622,7212,43
13399,77,11.708,615,7202,43
13449,78,11.7,644.6,7474,43
13499,79,11.708,650.7,7616,43
13549,80,11.712,625.5,7284,43
13599,81,11.712,614.4,7192,43
13649,82,11.704,633.9,7426,43
13699,83,11.712,625.5,7324,43
13749,84,11.7,629.8,7484,43
13799,85,11.712,620.1,7262,43
13849,86,11.704,633,7408,43
13899,87,11.704,621.7,7282,43
13949,88,11.716,604.1,7212,43
13999,89,11.704,645,7550,43
14049,90,11.696,660.1,7726,43
14099,91,11.708,623.2,7298,43
14149,92,11.708,616,7216,43
14199,93,11.708,641.8,7344,43
14249,94,11.716,624.3,7310,43
14299,95,11.7,641.9,7364,43
14349,96,11.712,630.8,7386,43
14399,97,11.704,632.2,7288,43
14449,98,11.708,634.1,7426,43
14499,99,11.712,618.4,7304,43
14549,100,11.712,639,7482,43
14599,101,11.7,622.4,7472,43
14649,102,11.712,623.8,7308,43
14699,103,11.704,623.5,7318,43
14749,104,11.708,633.7,7418,43
14799,105,11.708,621,7272,43
14849,106,11.712,626.7,7336,43
14899,107,11.704,630.1,7380,43
14949,108,11.7,638.2,7490,43
14999,109,11.712,633.5,7416,43
15049,110,11.704,615.4,7370,43
15099,111,11.708,626.1,7334,43
15149,112,11.712,627.9,7390,43
15199,113,11.716,615.3,7202,43
15249,114,11.704,624.2,7344,43
15299,115,11.708,628.6,7364,43
15349,116,11.708,623.1,7432,43
15399,117,11.708,630.1,7376,43
15449,118,11.708,626.7,7396,43
15499,119,11.708,630.7,7382,43
15549,120,11.704,618.7,7246,43
15599,121,11.708,629,7360,43
15649,122,11.712,610.4,7146,43
15699,123,11.712,634.4,7436,43
15749,124,11.708,629.8,7380,43
15799,125,11.704,630.7,7354,43
15849,126,11.712,620.6,7264,43
15899,127,11.7,629.2,7380,43
15949,128,11.708,638.2,7472,43
15999,129,11.724,581.9,6996,43
16049,130,11.708,629.8,7372,43
16099,131,11.708,632.8,7416,43
16149,132,11.708,632.5,7406,43
16199,133,11.704,624.8,7318,43
16249,134,11.712,620.4,7264,43
16299,135,11.704,617,7222,43
16349,136,11.716,644.2,7372,43
16399,137,11.712,622.9,7294,43
16449,138,11.708,605.5,7160,43
16499,139,11.716,617.9,7238,43
16549,140,11.712,607.5,7218,43
16599,141,11.72,612.1,7174,43
16649,142,11.728,594.7,7310,43
16699,143,11.72,590.1,6914,43
16749,144,11.716,572.3,6934,43
16799,145,11.716,590.9,6924,43
16849,146,11.716,569.8,6682,43
16899,147,11.728,593.2,6960,43
16949,148,11.72,563,6594,43
16999,149,11.728,566.4,6626,43
17049,150,11.724,596.1,6990,43
17099,151,11.72,598,6602,43
17149,152,11.72,603.4,7074,43
17199,153,11.724,596.1,6812,43
17249,154,11.716,618.2,7242,43
17299,155,11.724,602.2,6702,43
17349,156,11.728,611.3,7164,43
17399,157,11.72,597.6,6662,43
17449,158,11.708,604.4,7078,43
