####################
# Startup Complete #
####################
#{"device_name": "ECE362CarTeam07",
#  "pid": [0.452000,0.000300,0.000000]
#}
#{"csv": "
time (ms), packet_id, bus voltage (V), total_current (mA), power (mW), loop time (ms) 
9544, 0, 11.796, 379.200, 4476.000, 0 
9593, 1, 11.792, 385.600, 4548.000, 42 
9643, 2, 11.652, 786.000, 9238.000, 43 
9693, 3, 11.676, 744.500, 8690.000, 43 
9743, 4, 11.492, 1184.400, 14214.000, 43 
9793, 5, 11.460, 1428.900, 16372.000, 43 
9843, 6, 11.704, 660.900, 7622.000, 43 
9893, 7, 11.716, 682.000, 7972.000, 43 
9943, 8, 11.708, 650.500, 7504.000, 43 
9993, 9, 11.712, 641.900, 7518.000, 43 
10043, 10, 11.712, 636.600, 7562.000, 43 
10093, 11, 11.712, 633.600, 7422.000, 43 
10143, 12, 11.712, 623.000, 7446.000, 43 
10193, 13, 11.716, 654.300, 7658.000, 43 
10243, 14, 11.704, 641.300, 7432.000, 43 
10293, 15, 11.716, 628.900, 7360.000, 43 
10343, 16, 11.708, 620.700, 7248.000, 43 
10393, 17, 11.716, 615.200, 7210.000, 43 
10443, 18, 11.712, 616.500, 7222.000, 43 
10493, 19, 11.716, 626.500, 7340.000, 43 
10543, 20, 11.712, 613.400, 7186.000, 43 
10593, 21, 11.708, 622.800, 7298.000, 43 
10643, 22, 11.716, 623.300, 7304.000, 43 
10693, 23, 11.716, 624.200, 7298.000, 43 
10743, 24, 11.716, 619.700, 7262.000, 43 
10793, 25, 11.720, 616.900, 7156.000, 43 
10843, 26, 11.724, 601.700, 7048.000, 43 
10893, 27, 11.712, 617.000, 7192.000, 43 
10943, 28, 11.720, 619.000, 7252.000, 43 
10993, 29, 11.716, 618.000, 7364.000, 43 
11043, 30, 11.720, 620.600, 7272.000, 43 
11093, 31, 11.716, 601.300, 7274.000, 43 
11143, 32, 11.720, 607.800, 7118.000, 43 
11193, 33, 11.716, 616.000, 6934.000, 43 
11243, 34, 11.716, 615.600, 7216.000, 43 
11293, 35, 11.712, 611.900, 7336.000, 43 
11343, 36, 11.720, 622.500, 7298.000, 43 
11393, 37, 11.716, 602.000, 7186.000, 43 
11443, 38, 11.724, 613.900, 7196.000, 43 
11493, 39, 11.716, 601.200, 7048.000, 43 
11543, 40, 11.712, 614.600, 7202.000, 43 
11593, 41, 11.728, 604.100, 7074.000, 43 
11643, 42, 11.720, 609.400, 7160.000, 43 
11693, 43, 11.716, 624.000, 7318.000, 43 
11743, 44, 11.716, 587.200, 7442.000, 43 
11793, 45, 11.716, 604.000, 7078.000, 43 
11843, 46, 11.704, 644.700, 7438.000, 43 
11893, 47, 11.724, 601.100, 7042.000, 43 
11943, 48, 11.724, 603.300, 7104.000, 43 
11993, 49, 11.724, 599.700, 7026.000, 43 
12043, 50, 11.712, 605.500, 7068.000, 43 
12093, 51, 11.720, 584.800, 6856.000, 43 
12143, 52, 11.704, 653.400, 7726.000, 43 
12193, 53, 11.720, 593.700, 6956.000, 43 
12243, 54, 11.716, 602.600, 7170.000, 43 
12293, 55, 11.728, 608.500, 7130.000, 43 
12343, 56, 11.724, 601.600, 7146.000, 43 
12393, 57, 11.720, 604.100, 7082.000, 43 
12443, 58, 11.712, 610.100, 7146.000, 43 
12493, 59, 11.716, 608.300, 7130.000, 43 
12543, 60, 11.720, 598.900, 7020.000, 43 
12593, 61, 11.724, 591.300, 7114.000, 43 
12643, 62, 11.716, 604.900, 7084.000, 43 
12693, 63, 11.720, 612.500, 7206.000, 43 
12743, 64, 11.728, 611.600, 7166.000, 43 
12793, 65, 11.716, 599.000, 7176.000, 43 
12843, 66, 11.728, 603.000, 7064.000, 43 
12893, 67, 11.720, 606.700, 7062.000, 43 
12943, 68, 11.708, 641.700, 7518.000, 43 
12993, 69, 11.720, 601.200, 7056.000, 43 
13043, 70, 11.716, 603.700, 7072.000, 43 
13093, 71, 11.720, 610.400, 6748.000, 43 
13143, 72, 11.724, 606.800, 7110.000, 43 
13193, 73, 11.724, 581.700, 6820.000, 43 
13243, 74, 11.720, 596.300, 6986.000, 43 
13293, 75, 11.704, 636.500, 7462.000, 43 
13343, 76, 11.716, 608.500, 7134.000, 43 
13393, 77, 11.716, 604.700, 7092.000, 43 
13443, 78, 11.720, 604.300, 7082.000, 43 
13493, 79, 11.720, 579.600, 6792.000, 43 
13543, 80, 11.720, 633.700, 7160.000, 43 
13593, 81, 11.720, 609.900, 7146.000, 43 
13643, 82, 11.720, 602.000, 6812.000, 43 
13693, 83, 11.728, 604.100, 7082.000, 43 
13743, 84, 11.720, 600.900, 7164.000, 43 
13793, 85, 11.716, 618.300, 7246.000, 43 
13843, 86, 11.712, 620.900, 7304.000, 43 
13893, 87, 11.720, 618.500, 7246.000, 43 
13943, 88, 11.716, 615.700, 7366.000, 43 
13993, 89, 11.732, 611.000, 7160.000, 43 
14043, 90, 11.720, 580.900, 6806.000, 43 
14093, 91, 11.720, 614.500, 7202.000, 43 
14143, 92, 11.716, 598.100, 7006.000, 43 
14193, 93, 11.716, 613.100, 7246.000, 43 
14243, 94, 11.712, 609.200, 7134.000, 43 
14293, 95, 11.720, 604.400, 7300.000, 43 
14343, 96, 11.724, 609.700, 7140.000, 43 
14393, 97, 11.712, 613.700, 7160.000, 43 
14443, 98, 11.712, 619.200, 7252.000, 43 
14493, 99, 11.724, 618.700, 7298.000, 43 
14543, 100, 11.704, 648.500, 7596.000, 43 
14593, 101, 11.716, 612.800, 7454.000, 43 
14643, 102, 11.696, 679.800, 7950.000, 43 
14693, 103, 11.716, 605.700, 7094.000, 43 
14743, 104, 11.720, 637.000, 7464.000, 43 
14793, 105, 11.716, 607.700, 7118.000, 43 
14843, 106, 11.712, 628.000, 7356.000, 43 
14893, 107, 11.720, 623.700, 7308.000, 43 
14943, 108, 11.720, 589.100, 6904.000, 43 
14993, 109, 11.720, 612.500, 7176.000, 43 
15043, 110, 11.716, 613.700, 7202.000, 43 
15093, 111, 11.720, 611.700, 7170.000, 43 
15143, 112, 11.716, 611.200, 7200.000, 43 
15193, 113, 11.716, 610.700, 7156.000, 43 
15243, 114, 11.716, 604.600, 7226.000, 43 
15293, 115, 11.724, 614.600, 7200.000, 43 
15343, 116, 11.712, 623.600, 7412.000, 43 
15393, 117, 11.700, 658.400, 7708.000, 43 
15443, 118, 11.708, 616.500, 7274.000, 43 
15493, 119, 11.716, 627.300, 7346.000, 43 
15543, 120, 11.708, 642.800, 7530.000, 43 
15593, 121, 11.688, 724.600, 8470.000, 43 
15643, 122, 11.684, 708.000, 8270.000, 43 
15693, 123, 11.684, 723.400, 8414.000, 43 
15743, 124, 11.712, 613.900, 7186.000, 43 
15793, 125, 11.712, 618.500, 7274.000, 43 
15843, 126, 11.724, 608.700, 7130.000, 43 
15893, 127, 11.704, 646.900, 7792.000, 43 
15943, 128, 11.712, 623.100, 7300.000, 43 
15993, 129, 11.716, 609.300, 7272.000, 43 
16043, 130, 11.716, 610.500, 7150.000, 43 
16093, 131, 11.716, 599.500, 7170.000, 43 
16143, 132, 11.708, 637.100, 7458.000, 43 
16193, 133, 11.716, 609.600, 7144.000, 43 
16243, 134, 11.716, 622.600, 7294.000, 43 
16293, 135, 11.716, 614.900, 7206.000, 43 
16343, 136, 11.716, 605.000, 7154.000, 43 
16393, 137, 11.720, 597.700, 7006.000, 43 
16443, 138, 11.716, 608.700, 7216.000, 43 
16493, 139, 11.716, 616.200, 7218.000, 43 
16543, 140, 11.708, 645.900, 7246.000, 43 
16593, 141, 11.720, 618.700, 7254.000, 43 
16643, 142, 11.720, 598.900, 7064.000, 43 
16693, 143, 11.720, 593.000, 6950.000, 43 
16743, 144, 11.712, 611.900, 7144.000, 43 
16793, 145, 11.720, 601.200, 7046.000, 43 
16843, 146, 11.700, 630.200, 7406.000, 43 
16893, 147, 11.720, 619.800, 7272.000, 43 
16943, 148, 11.716, 593.500, 6956.000, 43 
16993, 149, 11.712, 613.300, 7186.000, 43 
17043, 150, 11.708, 604.600, 7084.000, 43 
17093, 151, 11.720, 595.800, 7150.000, 43 
17143, 152, 11.724, 601.500, 7048.000, 43 
17193, 153, 11.724, 588.200, 7006.000, 43 
17243, 154, 11.732, 606.500, 7108.000, 43 
17293, 155, 11.716, 610.700, 6918.000, 43 
17343, 156, 11.720, 602.300, 7056.000, 43 
17393, 157, 11.716, 605.400, 6826.000, 43 
17443, 158, 11.716, 604.700, 7088.000, 43 
17493, 159, 11.716, 592.500, 7144.000, 43 
17543, 160, 11.720, 594.000, 6964.000, 43 
17593, 161, 11.720, 596.100, 6990.000, 43 
17643, 162, 11.724, 600.900, 7048.000, 43 
17693, 163, 11.720, 601.100, 7048.000, 43 
17743, 164, 11.720, 600.700, 7046.000, 43 
17793, 165, 11.732, 600.300, 7036.000, 43 
17843, 166, 11.724, 594.000, 7048.000, 43 
17893, 167, 11.720, 592.300, 6940.000, 43 
17943, 168, 11.712, 605.500, 7288.000, 43 
17993, 169, 11.736, 592.200, 6938.000, 43 
18043, 170, 11.724, 570.000, 7134.000, 43 
18093, 171, 11.720, 602.500, 7062.000, 43 
18143, 172, 11.720, 580.400, 7088.000, 43 
18193, 173, 11.720, 597.300, 7002.000, 43 
18243, 174, 11.724, 605.400, 7094.000, 43 
18293, 175, 11.716, 618.700, 7252.000, 43 
18343, 176, 11.716, 592.000, 6946.000, 43 
18393, 177, 11.728, 602.800, 6992.000, 43 
18443, 178, 11.696, 639.000, 7478.000, 43 
18493, 179, 11.712, 606.000, 6934.000, 43 
18543, 180, 11.720, 615.800, 7218.000, 43 
18593, 181, 11.716, 591.400, 7098.000, 43 
18643, 182, 11.724, 596.800, 6996.000, 43 
18693, 183, 11.716, 590.100, 6976.000, 43 
18743, 184, 11.712, 626.900, 7344.000, 43 
18793, 185, 11.716, 575.900, 6980.000, 43 
18843, 186, 11.716, 589.600, 6914.000, 43 
18893, 187, 11.728, 602.400, 7062.000, 43 
18943, 188, 11.716, 597.300, 6996.000, 43 
18993, 189, 11.720, 599.800, 7028.000, 43 
19043, 190, 11.708, 616.000, 7582.000, 43 
19093, 191, 11.720, 592.900, 6954.000, 43 
19143, 192, 11.712, 613.500, 7268.000, 43 
19193, 193, 11.712, 611.900, 7166.000, 43 
19243, 194, 11.708, 623.800, 7304.000, 43 
19293, 195, 11.704, 641.400, 7508.000, 43 
19343, 196, 11.704, 654.300, 7632.000, 43 
19393, 197, 11.712, 616.000, 7216.000, 43 
19443, 198, 11.712, 616.000, 7216.000, 43 
19493, 199, 11.712, 621.600, 7282.000, 43 
19543, 200, 11.716, 620.100, 7262.000, 43 
19593, 201, 11.712, 620.800, 7282.000, 43 
19643, 202, 11.712, 619.700, 7254.000, 43 
19693, 203, 11.708, 624.400, 7310.000, 43 
19743, 204, 11.728, 616.300, 7218.000, 43 
19793, 205, 11.712, 622.400, 7232.000, 43 
19843, 206, 11.708, 639.200, 7478.000, 43 
19893, 207, 11.712, 624.100, 7274.000, 43 
19943, 208, 11.704, 632.200, 7406.000, 43 
19993, 209, 11.700, 652.400, 7638.000, 43 
20043, 210, 11.712, 624.600, 7314.000, 43 
20093, 211, 11.728, 571.000, 6694.000, 43 
20143, 212, 11.708, 626.600, 7340.000, 43 
20193, 213, 11.704, 624.700, 7328.000, 43 
20243, 214, 11.712, 630.900, 7144.000, 43 
20293, 215, 11.708, 623.400, 7298.000, 43 
20343, 216, 11.708, 630.200, 7320.000, 43 
20393, 217, 11.720, 628.700, 7360.000, 43 
20443, 218, 11.708, 618.700, 7228.000, 43 
20493, 219, 11.708, 635.700, 7446.000, 43 
20543, 220, 11.712, 626.500, 7308.000, 43 
20593, 221, 11.700, 622.300, 7292.000, 43 
20643, 222, 11.712, 622.700, 7294.000, 43 
20693, 223, 11.712, 622.800, 7294.000, 43 
20743, 224, 11.712, 622.700, 7294.000, 43 
20793, 225, 11.712, 618.100, 7200.000, 43 
20843, 226, 11.720, 619.400, 7254.000, 43 
20893, 227, 11.716, 609.200, 7350.000, 43 
20943, 228, 11.716, 595.900, 6986.000, 43 
20993, 229, 11.720, 599.100, 7150.000, 43 
21043, 230, 11.720, 580.200, 6806.000, 43 
21093, 231, 11.732, 593.700, 7064.000, 43 
21143, 232, 11.724, 602.300, 7068.000, 43 
21193, 233, 11.716, 592.400, 6944.000, 43 
21243, 234, 11.708, 640.400, 7498.000, 43 
21293, 235, 11.560, 1012.000, 11724.000, 43 
21343, 236, 11.584, 988.000, 11858.000, 43 
21393, 237, 11.724, 551.200, 6462.000, 43 
21443, 238, 11.692, 706.800, 7648.000, 43 
21493, 239, 11.720, 577.300, 6756.000, 43 
21543, 240, 11.708, 648.000, 7094.000, 43 
21593, 241, 11.716, 589.300, 6914.000, 43 
21643, 242, 11.716, 617.300, 7114.000, 43 
21693, 243, 11.720, 603.700, 7074.000, 43 
21743, 244, 11.716, 587.100, 6878.000, 43 
21793, 245, 11.716, 623.900, 7318.000, 43 
21843, 246, 11.716, 609.500, 7136.000, 43 
21893, 247, 11.712, 618.400, 6908.000, 43 
21943, 248, 11.692, 687.600, 8034.000, 43 
21993, 249, 11.696, 687.400, 8100.000, 43 
22043, 250, 11.716, 614.000, 7182.000, 43 
22093, 251, 11.704, 612.100, 7334.000, 43 
22143, 252, 11.700, 632.000, 7406.000, 43 
22193, 253, 11.712, 612.100, 7212.000, 43 
22243, 254, 11.724, 612.600, 7176.000, 43 
22293, 255, 11.712, 621.700, 7282.000, 43 
22343, 256, 11.708, 611.800, 7166.000, 43 
22393, 257, 11.712, 610.600, 7154.000, 43 
22443, 258, 11.712, 608.900, 7210.000, 43 
22493, 259, 11.712, 609.600, 7144.000, 43 
22543, 260, 11.708, 628.600, 7346.000, 43 
22593, 261, 11.712, 619.400, 7252.000, 43 
22643, 262, 11.688, 698.800, 7772.000, 43 
22693, 263, 11.716, 609.200, 7134.000, 43 
22743, 264, 11.680, 665.000, 7550.000, 43 
22793, 265, 11.684, 694.100, 8106.000, 43 
22843, 266, 11.684, 692.300, 8088.000, 43 
22893, 267, 11.680, 708.000, 8270.000, 43 
22943, 268, 11.712, 630.900, 7392.000, 43 
22993, 269, 11.712, 637.200, 7264.000, 43 
23043, 270, 11.716, 615.600, 7212.000, 43 
23093, 271, 11.716, 597.900, 7196.000, 43 
23143, 272, 11.632, 863.800, 10046.000, 43 
23193, 273, 11.728, 577.500, 6712.000, 43 
23243, 274, 11.720, 625.300, 7328.000, 43 
23293, 275, 11.712, 614.800, 7186.000, 43 
23343, 276, 11.708, 622.800, 7292.000, 43 
23393, 277, 11.712, 622.700, 7298.000, 43 
23443, 278, 11.712, 617.200, 7232.000, 43 
23493, 279, 11.720, 613.000, 7182.000, 43 
23543, 280, 11.716, 610.000, 7274.000, 43 
23593, 281, 11.724, 611.800, 7166.000, 43 
23643, 282, 11.704, 610.100, 7402.000, 43 
23693, 283, 11.716, 604.400, 7082.000, 43 
23743, 284, 11.720, 566.400, 6816.000, 43 
23793, 285, 11.720, 612.300, 7174.000, 43 
23843, 286, 11.716, 635.000, 7226.000, 43 
23893, 287, 11.716, 615.700, 7212.000, 43 
23943, 288, 11.712, 605.200, 7094.000, 43 
23993, 289, 11.712, 603.900, 7006.000, 43 
24043, 290, 11.720, 600.100, 7032.000, 43 
24093, 291, 11.716, 596.000, 7268.000, 43 
24143, 292, 11.716, 622.200, 7292.000, 43 
24193, 293, 11.720, 616.800, 7078.000, 43 
24243, 294, 11.720, 619.600, 7258.000, 43 
24293, 295, 11.712, 618.300, 7100.000, 43 
24343, 296, 11.716, 613.800, 7190.000, 43 
24393, 297, 11.716, 624.000, 7310.000, 43 
24443, 298, 11.712, 613.800, 7190.000, 43 
24493, 299, 11.716, 592.900, 6950.000, 43 
24543, 300, 11.712, 618.700, 7010.000, 43 
24593, 301, 11.720, 598.700, 7016.000, 43 
24643, 302, 11.716, 621.100, 7212.000, 43 
24693, 303, 11.724, 598.900, 7020.000, 43 
24743, 304, 11.720, 611.100, 7100.000, 43 
24793, 305, 11.716, 619.000, 7254.000, 43 
24843, 306, 11.716, 587.300, 7068.000, 43 
24893, 307, 11.720, 616.100, 7222.000, 43 
24943, 308, 11.720, 589.300, 6908.000, 43 
24993, 309, 11.716, 619.000, 7022.000, 43 
25043, 310, 11.716, 598.900, 7016.000, 43 
25093, 311, 11.712, 606.800, 7156.000, 43 
25143, 312, 11.716, 583.300, 6836.000, 43 
25193, 313, 11.716, 620.500, 7052.000, 43 
25243, 314, 11.712, 612.000, 7170.000, 43 
25293, 315, 11.720, 602.700, 7196.000, 43 
25343, 316, 11.716, 614.400, 7202.000, 43 
25393, 317, 11.712, 610.400, 7150.000, 43 
25443, 318, 11.712, 613.300, 7186.000, 43 
25493, 319, 11.712, 571.700, 6702.000, 43 
25543, 320, 11.724, 603.200, 7056.000, 43 
25593, 321, 11.716, 604.800, 7088.000, 43 
25643, 322, 11.712, 614.000, 6892.000, 43 
25693, 323, 11.708, 603.800, 7078.000, 43 
25743, 324, 11.720, 569.800, 7100.000, 43 
25793, 325, 11.716, 605.000, 7088.000, 43 
25843, 326, 11.720, 598.700, 7016.000, 43 
25893, 327, 11.712, 608.000, 7120.000, 43 
#}
