ms, raceTime, arrowLost, arrowTarget, arrowEnd, driveSpeed, servoSetting, busVoltage, current, power, energySpent, P, I, D, state, 
192036, 155, False, 144, 144, 55, 95, 9.791999816894531, 1233.199951171875, 11524.0, 1308.816162109375, 0.41999998688697815, 0.0, 0.0, 2, 
192112, 230, False, 144, 144, 55, 95, 9.815999984741211, 1133.800048828125, 11194.0, 1309.48779296875, 0.41999998688697815, 0.0, 0.0, 2, 
192336, 455, False, 144, 136, 55, 95, 9.904000282287598, 955.5, 9696.0, 1311.3170166015625, 0.41999998688697815, 0.0, 0.0, 2, 
192412, 530, False, 136, 136, 55, 98, 9.87600040435791, 951.7000122070312, 9506.0, 1311.8873291015625, 0.41999998688697815, 0.0, 0.0, 2, 
192562, 681, False, 128, 120, 55, 100, 9.9399995803833, 906.7999877929688, 9510.0, 1313.027099609375, 0.41999998688697815, 0.0, 0.0, 2, 
192712, 831, False, 120, 112, 55, 103, 9.911999702453613, 1018.0, 9746.0, 1314.166748046875, 0.41999998688697815, 0.0, 0.0, 2, 
192862, 981, False, 112, 96, 55, 106, 9.907999992370605, 955.5999755859375, 9392.0, 1315.2725830078125, 0.41999998688697815, 0.0, 0.0, 2, 
193086, 1205, False, 104, 80, 55, 108, 9.947999954223633, 937.5, 9244.0, 1316.88916015625, 0.41999998688697815, 0.0, 0.0, 2, 
193236, 1355, False, 104, 72, 55, 108, 9.95199966430664, 919.5999755859375, 8028.0, 1317.916015625, 0.41999998688697815, 0.0, 0.0, 2, 
193386, 1505, False, 104, 72, 55, 108, 9.979999542236328, 930.4000244140625, 8052.0, 1318.942626953125, 0.41999998688697815, 0.0, 0.0, 2, 
193536, 1655, False, 112, 72, 49, 106, 10.107999801635742, 584.7999877929688, 5918.0, 1319.7840576171875, 0.41999998688697815, 0.0, 0.0, 2, 
193612, 1730, False, 112, 72, 49, 106, 10.116000175476074, 599.0, 5968.0, 1320.14208984375, 0.41999998688697815, 0.0, 0.0, 2, 
193762, 1881, False, 120, 80, 49, 103, 10.095999717712402, 592.7999877929688, 6262.0, 1320.88623046875, 0.41999998688697815, 0.0, 0.0, 2, 
193912, 2031, False, 136, 96, 49, 98, 10.083999633789062, 620.5, 6328.0, 1321.629638671875, 0.41999998688697815, 0.0, 0.0, 2, 
194062, 2181, False, 136, 104, 55, 98, 9.895999908447266, 963.2999877929688, 9536.0, 1322.5572509765625, 0.41999998688697815, 0.0, 0.0, 2, 
194212, 2331, False, 128, 104, 55, 100, 9.883999824523926, 948.5, 9398.0, 1323.4700927734375, 0.41999998688697815, 0.0, 0.0, 2, 
194362, 2481, False, 128, 96, 55, 100, 9.883999824523926, 928.2000122070312, 9040.0, 1324.5523681640625, 0.41999998688697815, 0.0, 0.0, 2, 
194512, 2631, False, 128, 96, 55, 100, 9.907999992370605, 931.7999877929688, 8854.0, 1325.6361083984375, 0.41999998688697815, 0.0, 0.0, 2, 
194662, 2781, False, 120, 88, 55, 103, 9.895999908447266, 949.4000244140625, 9332.0, 1326.7333984375, 0.41999998688697815, 0.0, 0.0, 2, 
194886, 3005, False, 120, 88, 55, 103, 9.920000076293945, 869.5, 8460.0, 1328.244873046875, 0.41999998688697815, 0.0, 0.0, 2, 
194962, 3080, False, 120, 80, 49, 103, 10.092000007629395, 577.0, 5850.0, 1328.5958251953125, 0.41999998688697815, 0.0, 0.0, 2, 
195112, 3231, False, 120, 80, 49, 103, 10.104000091552734, 619.7000122070312, 6216.0, 1329.320068359375, 0.41999998688697815, 0.0, 0.0, 2, 
195336, 3455, False, 136, 88, 49, 98, 10.076000213623047, 573.9000244140625, 5912.0, 1330.587890625, 0.41999998688697815, 0.0, 0.0, 2, 
195486, 3605, False, 184, 96, 49, 82, 10.071999549865723, 623.2999877929688, 5896.0, 1331.29541015625, 0.41999998688697815, 0.0, 0.0, 2, 
195636, 3755, False, 256, 128, 49, 58, 10.064000129699707, 615.0, 6240.0, 1332.0838623046875, 0.41999998688697815, 0.0, 0.0, 2, 
195786, 3905, False, 304, 176, 49, 42, 10.071999549865723, 606.5999755859375, 5876.0, 1332.8380126953125, 0.41999998688697815, 0.0, 0.0, 2, 
195862, 3980, False, 304, 176, 49, 42, 10.067999839782715, 605.7999877929688, 6040.0, 1333.200439453125, 0.41999998688697815, 0.0, 0.0, 2, 
196086, 4205, False, 296, 152, 49, 44, 10.071999549865723, 630.5999755859375, 6174.0, 1334.3084716796875, 0.41999998688697815, 0.0, 0.0, 2, 
196162, 4280, False, 280, 136, 49, 50, 10.043999671936035, 647.7000122070312, 6344.0, 1334.6890869140625, 0.41999998688697815, 0.0, 0.0, 2, 
196386, 4505, False, 232, 24, 49, 66, 10.04800033569336, 640.7999877929688, 6456.0, 1335.850830078125, 0.41999998688697815, 0.0, 0.0, 2, 
196462, 4580, False, 232, 16, 49, 66, 10.064000129699707, 615.7999877929688, 6130.0, 1336.2186279296875, 0.41999998688697815, 0.0, 0.0, 2, 
196612, 4731, False, 256, 16, 49, 58, 10.043999671936035, 656.5999755859375, 6482.0, 1336.99169921875, 0.41999998688697815, 0.0, 0.0, 2, 
196762, 4881, False, 288, 32, 49, 47, 10.031999588012695, 644.2000122070312, 6442.0, 1337.7640380859375, 0.41999998688697815, 0.0, 0.0, 2, 
196912, 5031, False, 304, 48, 49, 42, 10.039999961853027, 643.7999877929688, 6422.0, 1338.5357666015625, 0.41999998688697815, 0.0, 0.0, 2, 
197136, 5255, False, 304, 40, 49, 42, 10.031999588012695, 644.7999877929688, 6446.0, 1339.6951904296875, 0.41999998688697815, 0.0, 0.0, 2, 
197212, 5330, False, 296, 40, 49, 44, 10.027999877929688, 643.7000122070312, 6524.0, 1340.086669921875, 0.41999998688697815, 0.0, 0.0, 2, 
197436, 5555, False, 248, 40, 49, 60, 10.027999877929688, 647.7999877929688, 6420.0, 1341.24658203125, 0.41999998688697815, 0.0, 0.0, 2, 
